parameters: 
starting potential, V: -0.5
end potential, V: 0.3
step potential, V: 0.002
frequency, Hz: 25
amplitude, V: 0.02
potential/V SWV_Current/A Ox_Current/A
0.052 6.12032e-07 1.18187e-06
0.054 5.77931e-07 1.16172e-06
0.056 5.4502e-07 1.1416e-06
0.058 5.13349e-07 1.12157e-06
0.06 4.82955e-07 1.1017e-06
0.062 4.5386e-07 1.08205e-06
0.064 4.26077e-07 1.06265e-06
0.066 3.99605e-07 1.04356e-06
0.068 3.74434e-07 1.02481e-06
0.07 3.50549e-07 1.00643e-06
0.072 3.27925e-07 9.88447e-07
0.074 3.06532e-07 9.70875e-07
0.076 2.86334e-07 9.53734e-07
0.078 2.67295e-07 9.37035e-07
0.08 2.49371e-07 9.20786e-07
0.082 2.3252e-07 9.04992e-07
0.084 2.16696e-07 8.89656e-07
0.086 2.01853e-07 8.74777e-07
0.088 1.87945e-07 8.60353e-07
0.09 1.74926e-07 8.46378e-07
0.092 1.62749e-07 8.32847e-07
0.094 1.5137e-07 8.19752e-07
0.096 1.40745e-07 8.07085e-07
0.098 1.3083e-07 7.94835e-07
0.1 1.21584e-07 7.82993e-07
0.102 1.12968e-07 7.71548e-07
0.104 1.04943e-07 7.60488e-07
0.106 9.74724e-08 7.49801e-07
0.108 9.05212e-08 7.39476e-07
0.11 8.40562e-08 7.295e-07
0.112 7.80458e-08 7.19862e-07
0.114 7.24601e-08 7.10549e-07
0.116 6.7271e-08 7.01549e-07
0.118 6.24518e-08 6.92852e-07
0.12 5.79774e-08 6.84444e-07
0.122 5.38242e-08 6.76316e-07
0.124 4.99701e-08 6.68455e-07
0.126 4.63943e-08 6.60852e-07
0.128 4.30773e-08 6.53495e-07
0.13 4.00011e-08 6.46375e-07
0.132 3.71485e-08 6.39483e-07
0.134 3.45037e-08 6.32808e-07
0.136 3.20518e-08 6.26341e-07
0.138 2.9779e-08 6.20075e-07
0.14 2.76724e-08 6.14e-07
0.142 2.572e-08 6.08109e-07
0.144 2.39107e-08 6.02394e-07
0.146 2.2234e-08 5.96847e-07
0.148 2.06804e-08 5.91461e-07
0.15 1.92407e-08 5.86231e-07
0.152 1.79067e-08 5.81148e-07
0.154 1.66707e-08 5.76207e-07
0.156 1.55253e-08 5.71403e-07
0.158 1.4464e-08 5.66729e-07
0.16 1.34806e-08 5.6218e-07
0.162 1.25693e-08 5.57752e-07
0.164 1.17247e-08 5.53438e-07
0.166 1.09421e-08 5.49235e-07
0.168 1.02167e-08 5.45138e-07
0.17 9.54429e-09 5.41143e-07
0.172 8.92102e-09 5.37245e-07
0.174 8.34321e-09 5.33442e-07
0.176 7.80749e-09 5.29728e-07
0.178 7.31073e-09 5.26102e-07
0.18 6.85005e-09 5.22559e-07
0.182 6.42277e-09 5.19096e-07
0.184 6.02641e-09 5.15711e-07
0.186 5.65866e-09 5.12399e-07
0.188 5.31742e-09 5.0916e-07
0.19 5.0007e-09 5.05989e-07
0.192 4.70669e-09 5.02885e-07
0.194 4.43371e-09 4.99845e-07
0.196 4.1802e-09 4.96867e-07
0.198 3.94471e-09 4.93949e-07
0.2 3.72591e-09 4.91088e-07
0.202 3.52256e-09 4.88283e-07
0.204 3.33352e-09 4.85531e-07
0.206 3.15774e-09 4.82832e-07
0.208 2.99423e-09 4.80182e-07
0.21 2.84209e-09 4.77582e-07
0.212 2.70048e-09 4.75028e-07
0.214 2.56862e-09 4.7252e-07
0.216 2.4458e-09 4.70055e-07
0.218 2.33136e-09 4.67634e-07
0.22 2.22467e-09 4.65254e-07
0.222 2.12517e-09 4.62914e-07
0.224 2.03234e-09 4.60612e-07
0.226 1.94569e-09 4.58349e-07
0.228 1.86477e-09 4.56122e-07
0.23 1.78915e-09 4.53931e-07
0.232 1.71847e-09 4.51774e-07
0.234 1.65235e-09 4.49651e-07
0.236 1.59047e-09 4.4756e-07
0.238 1.53252e-09 4.45502e-07
0.24 1.47822e-09 4.43474e-07
0.242 1.4273e-09 4.41476e-07
0.244 1.37954e-09 4.39507e-07
0.246 1.33469e-09 4.37567e-07
0.248 1.29255e-09 4.35654e-07
0.25 1.25294e-09 4.33769e-07
0.252 1.21566e-09 4.31909e-07
0.254 1.18057e-09 4.30076e-07
0.256 1.14749e-09 4.28267e-07
0.258 1.1163e-09 4.26483e-07
0.26 1.08686e-09 4.24723e-07
0.262 1.05904e-09 4.22985e-07
0.264 1.03275e-09 4.21271e-07
0.266 1.00786e-09 4.19579e-07
0.268 9.84294e-10 4.17908e-07
0.27 9.61952e-10 4.16258e-07
0.272 9.40753e-10 4.1463e-07
0.274 9.2062e-10 4.13021e-07
0.276 9.01481e-10 4.11432e-07
0.278 8.83271e-10 4.09863e-07
0.28 8.65928e-10 4.08312e-07
0.282 8.49394e-10 4.0678e-07
0.284 8.33618e-10 4.05266e-07
0.286 8.1855e-10 4.0377e-07
0.288 8.04145e-10 4.02291e-07
0.29 7.9036e-10 4.00829e-07
0.292 7.77156e-10 3.99384e-07
0.294 7.64497e-10 3.97955e-07
0.296 7.52349e-10 3.96542e-07
0.298 7.4068e-10 3.95144e-07
0.3 7.29461e-10 3.93763e-07
